,taxon_link,taxon_oid,added,accessed,retrieved,filename,download_link,download_date,error,warning,error_msg,warning_msg
43,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2524614768,2524614768,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
44,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2627853667,2627853667,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
45,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=644736322,644736322,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
46,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=649633057,649633057,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
47,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2617271304,2617271304,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
48,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2596583683,2596583683,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
49,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2627853860,2627853860,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
50,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2630968620,2630968620,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
51,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2513237181,2513237181,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
52,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2681812892,2681812892,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
53,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2264867056,2264867056,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
54,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2627853639,2627853639,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
55,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2731639260,2731639260,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
56,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742708,2708742708,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
57,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2645727520,2645727520,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
